Air carrier;Aircraft Type;;Days available;Total hours Flown;
AURIGNY;ATR ATR72;Passenger;1,095;7,557;6.9
AURIGNY;PILATUS PC6 A/B1/CH2;Passenger;2,19;5,931;2.7
BMI REGIONAL;EMBRAER EMB135;Passenger;1,46;8,143;5.6
BMI REGIONAL;EMBRAER EMB145;Passenger;5,11;29,932;5.9
BRITISH AIRWAYS;BOEING 737 400;Passenger;6,935;55,809;8
BRITISH AIRWAYS;BOEING 747 400;Passenger;17,984;227,49;12.6
BRITISH AIRWAYS;BOEING 757 200;Passenger;1,218;8,114;6.7
BRITISH AIRWAYS;BOEING 767 300ER;Passenger;7,665;79,572;10.4
BRITISH AIRWAYS;BOEING 777 200;Passenger;1,095;13,875;12.7
BRITISH AIRWAYS;BOEING 777 300;Passenger;264;3,841;14.5
BRITISH AIRWAYS;AIRBUS A319;Passenger;12,045;95,785;8
BRITISH AIRWAYS;AIRBUS A320;Passenger;14,123;114,975;8.1
BRITISH AIRWAYS;AIRBUS A321;Passenger;4,015;29;7.2
BRITISH AIRWAYS;AIRBUS A318;Passenger;730;8,027;11
BRITISH AIRWAYS;BOEING 777 200ER;Passenger;15,695;220,108;14
BRITISH MIDLAND;AIRBUS A319;Passenger;4,015;31,69;7.9
BRITISH MIDLAND;AIRBUS A320;Passenger;2,648;21,507;8.1
BRITISH MIDLAND;AIRBUS A321;Passenger;2,665;28,912;10.8
BRITISH MIDLAND;AIRBUS A330;Passenger;618;8,105;13.1
DHL AIR;BOEING 757 200;Freighter;8,03;22,504;2.8
DHL AIR;BOEING 767 300ER;Freighter;1,095;13,278;12.1
EASTERN AIRWAYS;BAE JETSTREAM41 4100;Passenger;6,508;16,284;2.5
EASTERN AIRWAYS;EMBRAER EMB135;Passenger;369;577;1.6
EASTERN AIRWAYS;SAAB 2000;Passenger;2,92;11,087;3.8
EXECUTIVE JET CHARTER LTD.;DASSAULT FALCON 2000;Passenger;365;134;0.4
EXECUTIVE JET CHARTER LTD.;DASSAULT FALCON 900;Passenger;1,254;341;0.3
FLYBE.BRITISH EUROPEAN;DE HAVILLAND CANADA DHC8 400;Passenger;20,837;103,79;5
FLYBE.BRITISH EUROPEAN;EMBRAER ERJ195;Passenger;5,11;25,979;5.1
MONARCH AIRLINES;BOEING 757 200;Passenger;1,095;9,121;8.3
MONARCH AIRLINES;BOEING 767 300ER;Passenger;112;863;7.7
MONARCH AIRLINES;AIRBUS A300 B4600;Passenger;1,46;11,686;8
MONARCH AIRLINES;AIRBUS A320;Passenger;1,733;18,208;10.5
MONARCH AIRLINES;AIRBUS A321;Passenger;5,84;58,802;10.1
MONARCH AIRLINES;AIRBUS A330;Passenger;730;9,026;12.4
TITAN AIRWAYS;BOEING 737 300;Passenger;1,436;2,516;1.8
TITAN AIRWAYS;BOEING 757 200;Passenger;365;1,92;5.3
TITAN AIRWAYS;BOEING 767 300ER;Passenger;365;1,451;4
TITAN AIRWAYS;BAE AVRO 146RJ 200;Passenger;1,436;2,388;1.7
TITAN AIRWAYS;BAE AVRO 146RJ 300;Passenger;316;448;1.4
TITAN AIRWAYS;BEECH 300;Passenger;365;238;0.7
TWINJET AIRCRAFT;CANADAIR CL6002B16;Passenger;365;399;1.1
TWINJET AIRCRAFT;AIRBUS A319;Passenger;365;291;0.8
TWINJET AIRCRAFT;EMBRAER EMB135;Passenger;273;163;0.6
VIRGIN ATLANTIC;BOEING 747 400;Passenger;4,745;58,631;12.4
VIRGIN ATLANTIC;AIRBUS A340 300;Passenger;2,19;27,782;12.7
VIRGIN ATLANTIC;AIRBUS A340 600;Passenger;6,935;89,54;12.9
ASTRAEUS LTD;BOEING 737 300;Passenger;730;2,941;4
ASTRAEUS LTD;BOEING 737 500;Passenger;365;2,02;5.5
ASTRAEUS LTD;BOEING 737 700;Passenger;730;6,114;8.4
ASTRAEUS LTD;BOEING 757 200;Passenger;1,825;11,737;6.4
ASTRAEUS LTD;AIRBUS A320;Passenger;365;1,801;4.9
GLOBAL SUPPLY SYSTEMS;BOEING 747 400F;Freighter;1,095;14,098;12.9
TAG AVIATION;DASSAULT FALCON 900;Passenger;1,554;792;0.5
TAG AVIATION;CANADAIR CL6002B16;Passenger;365;48;0.1
TAG AVIATION;EMBRAER EMB135;Passenger;1,279;472;0.4
TAG AVIATION;BOMBARDIER BD7001A10;Passenger;1,187;118;0.1
TAG AVIATION;GULFSTREAM G200;Passenger;365;55;0.2
TAG AVIATION;DASSAULT FALCON7X;Passenger;1,095;530;0.5
HIGHLAND AIRWAYS;BAE JETSTREAM31 3100;Other purpose aircraft;415;283;0.7
HIGHLAND AIRWAYS;PILATUS PC6 A/B1/CH2;Passenger;83;58;0.7
