'AIRBUS A318'
'AIRBUS A319'
'AIRBUS A320'
'AIRBUS A321'
'AIRBUS A330'
'AIRBUS A330 200'
'AIRBUS A330 300'
'AIRBUS A340 300'
'AIRBUS A340 600'
'ATR ATR72'
'BAE ATP'
'BAE AVRO 146RJ 200'
'BAE AVRO 146RJ 300'
'BAE JETSTREAM31 3100'
'BAE JETSTREAM41 4100'
'BEECH 300'
'BOEING 737 300'
'BOEING 737 400'
'BOEING 737 500'
'BOEING 737 700'
'BOEING 737 800'
'BOEING 747 400'
'BOEING 747 400F'
'BOEING 757 200'
'BOEING 757 300'
'BOEING 767 300ER'
'BOEING 777 200'
'BOEING 777 200ER'
'BOEING 777 300'
'BOMBARDIER BD1001A10'
'BOMBARDIER BD7001A10'
'CANADAIR CL6002B16'
'DASSAULT FALCON 2000'
'DASSAULT FALCON 900'
'DASSAULT FALCON7X'
'DE HAVILLAND CANADA DHC8 300'
'DE HAVILLAND CANADA DHC8 400'
