icao,iata,name,city,subd,country,elevation,lat,lon,tz,lid
EGBB,BHX,Birmingham International Airport,Birmingham,England,GB,327.0,52.4538993835,-1.7480299473,Europe/London,
EGBE,CVT,Coventry Airport,Coventry,England,GB,267.0,52.3697013855,-1.4797199965,Europe/London,
EGBJ,GLO,Gloucestershire Airport,Staverton,England,GB,101.0,51.8941993713,-2.1672201157,Europe/London,
EGBK,ORM,Sywell Aerodrome,Northampton,England,GB,429.0,52.3053016663,-0.7930560112,Europe/London,
EGBN,NQT,Nottingham Airport,Nottingham,England,GB,138.0,52.9199981689,-1.0791699886,Europe/London,
EGCC,MAN,Manchester Airport,Manchester,England,GB,257.0,53.3536987305,-2.2749500275,Europe/London,
EGCN,DSA,Robin Hood Doncaster Sheffield Airport,Doncaster,England,GB,55.0,53.4805378105,-1.0106563568,Europe/London,
EGDJ,UPV,Upavon Aerodrome,Upavon,England,GB,574.0,51.2862014771,-1.7820199728,Europe/London,
EGDL,LYE,RAF Lyneham,Lyneham,England,GB,513.0,51.5051002502,-1.9934300184,Europe/London,
EGDY,YEO,RNAS Yeovilton,Yeovil,England,GB,75.0,51.0093994141,-2.6388199329,Europe/London,
EGGD,BRS,Bristol International Airport,Bristol,England,GB,622.0,51.3827018738,-2.7190899849,Europe/London,
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,England,GB,80.0,53.3335990906,-2.8497200012,Europe/London,
EGGW,LTN,London Luton Airport,London,England,GB,526.0,51.8746986389,-0.3683330119,Europe/London,
EGHC,LEQ,Land's End Airport,Land's End,England,GB,401.0,50.1027984619,-5.6705598831,Europe/London,
EGHD,PLH,Plymouth City Airport,Plymouth,England,GB,476.0,50.4227981567,-4.1058301926,Europe/London,
EGHE,ISC,St. Mary's Airport,St. Mary's,England,GB,116.0,49.9132995605,-6.2916698456,Europe/London,
EGHH,BOH,Bournemouth Airport,Bournemouth,England,GB,38.0,50.7799987793,-1.8424999714,Europe/London,
EGHI,SOU,Southampton Airport,Southampton,England,GB,44.0,50.9502983093,-1.3567999601,Europe/London,
EGHJ,BBP,Bembridge Airport,Bembridge,England,GB,53.0,50.6781005859,-1.1094399691,Europe/London,
EGHQ,NQY,Newquay Cornwall Airport,Newquay,England,GB,390.0,50.4406013489,-4.9954099655,Europe/London,
EGHR,QUG,Chichester/Goodwood Airport,Chichester,England,GB,98.0,50.8594017029,-0.7591670156,Europe/London,
EGKA,ESH,Shoreham Airport,Brighton,England,GB,7.0,50.8356018066,-0.2972219884,Europe/London,
EGKB,BQH,London Biggin Hill Airport,London,England,GB,598.0,51.3307991028,0.0324999988,Europe/London,
EGKK,LGW,London Gatwick Airport,London,England,GB,202.0,51.1481018066,-0.1902779937,Europe/London,
EGLC,LCY,London City Airport,London,England,GB,19.0,51.5052986145,0.0552779995,Europe/London,
EGLF,FAB,Farnborough Airport,Farnborough,England,GB,238.0,51.2757987976,-0.7763329744,Europe/London,
EGLK,BBS,Blackbushe Airport,Yateley,England,GB,325.0,51.3238983154,-0.8475000262,Europe/London,
EGLL,LHR,London Heathrow Airport,London,England,GB,83.0,51.4706001282,-0.4619410038,Europe/London,
EGMC,SEN,Southend Airport,Southend,England,GB,49.0,51.5713996887,0.695555985,Europe/London,
EGMD,LYX,Lydd Airport,Lydd,England,GB,13.0,50.9561004639,0.9391670227,Europe/London,
EGMH,MSE,Kent International Airport,Manston,England,GB,178.0,51.3422012329,1.3461099863,Europe/London,
EGNC,CAX,Carlisle Airport,Carlisle,England,GB,190.0,54.9375,-2.8091700077,Europe/London,
EGNH,BLK,Blackpool International Airport,Blackpool,England,GB,34.0,53.7717018127,-3.0286099911,Europe/London,
EGNJ,HUY,Humberside Airport,Grimsby,England,GB,121.0,53.5744018555,-0.3508329988,Europe/London,
EGNL,BWF,Barrow Walney Island Airport,Barrow-in-Furness,England,GB,173.0,54.1311988831,-3.2636699677,Europe/London,
